"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Hamilton College",43.0478,-75.4089,"Clinton",41,46080.0,46080.0,2,"www.hamilton.edu",0.9295,0.9403,0.2719,16500.0,11000.0,23100.0,53200.0,68500.0,0.948012,0.968571,0.95873,0.967822
"Hamline University",44.9657,-93.164,"Saint Paul",11,35108.0,35108.0,2,"www.hamline.edu",0.6637,0.813,0.6557,25018.5,10700.0,22600.0,51700.0,69600.0,0.882682,0.881416,0.891032,0.935457
"Hampden-Sydney College",37.2425,-78.4614,"Hampden-Sydney",42,37352.0,37352.0,2,"www.hsc.edu",0.6216,0.7836,0.5486,27000.0,8200.0,21700.0,47600.0,60900.0,0.913183,0.906061,0.909657,0.920844
"Hampshire College",42.3248,-72.5324,"Amherst",21,46625.0,46625.0,2,"www.hampshire.edu",0.6607,0.8123,0.6369,20000.0,3700.0,10300.0,32500.0,44500.0,0.880759,0.916667,0.913907,0.930108
"Hampton University",37.0221,-76.3376,"Hampton",12,20724.0,20724.0,2,"www.hamptonu.edu",0.6751,0.7554,0.3605,27474.0,9000.0,18800.0,52900.0,69500.0,0.666859,0.678118,0.709357,0.762674
"Hannibal-LaGrange University",39.7308,-91.3914,"Hannibal",33,18770.0,18770.0,2,"www.hlg.edu",0.6567,0.623,0.6814,19875.0,9000.0,18000.0,35800.0,49300.0,0.887884,0.879661,0.845283,0.876977
"Hanover College",38.7125,-85.4611,"Hanover",32,31760.0,31760.0,2,"www.hanover.edu",0.7186,0.8091,0.6673,27000.0,11500.0,21700.0,41300.0,55100.0,0.922794,0.910653,0.906354,0.936387
"Hardin-Simmons University",32.4768,-99.7338,"Abilene",12,23460.0,23460.0,2,"www.hsutx.edu",0.514,0.6285,0.3759,27000.0,9300.0,20300.0,46000.0,59100.0,0.844649,0.831389,0.807733,0.852858
"Harding University",35.2496,-91.729,"Searcy",32,16170.0,16170.0,2,"www.harding.edu",0.6219,0.8234,0.7628,26250.0,8600.0,18600.0,44600.0,60000.0,0.867018,0.876754,0.884439,0.913852
"Hartwick College",42.454,-75.0736,"Oneonta",33,38930.0,38930.0,2,"www.hartwick.edu/",0.5708,0.7175,0.8424,27000.0,10700.0,21600.0,49300.0,64300.0,0.870466,0.887676,0.900685,0.915081
