"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Roberts Wesleyan College",43.1267,-77.799,"Rochester",21,27364.0,27364.0,2,"WWW.Roberts.edu",0.6057,0.8571,0.726,23200.0,10100.0,21700.0,53600.0,71000.0,0.827628,0.850847,0.845737,0.895719
"Robeson Community College",34.6213,-79.0044,"Lumberton",32,2368.0,8512.0,1,"www.robeson.edu",0.0,0.0,0.0,10500.0,3700.0,10100.0,26900.0,38900.0,0.0,0.0,0.0,0.0
"Rochester College",42.6675,-83.145,"Rochester Hills",21,19920.0,19920.0,2,"www.rc.edu",0.4301,0.5746,0.6567,21500.0,6300.0,16700.0,38400.0,50200.0,0.734317,0.725979,0.768657,0.775
"Rochester Community and Technical College",44.0162,-92.4235,"Rochester",12,5608.0,5608.0,1,"www.rctc.edu/",0.0,0.0,0.0,15169.5,9200.0,18500.0,41200.0,56100.0,0.713426,0.710655,0.786858,0.835491
"Rochester Institute of Technology",43.0903,-77.6752,"Rochester",21,34424.0,34424.0,2,"www.rit.edu/",0.6388,0.8691,0.6016,27000.0,13000.0,26700.0,65100.0,81300.0,0.905074,0.901062,0.913851,0.933461
"Rochester School of Hair Design",44.0676,-92.5036,"Rochester",12,0.0,0.0,3,"www.rochesterschoolofhairdesign.com",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rock Valley College",42.3095,-88.9946,"Rockford",12,2924.0,14534.0,1,"www.rockvalleycollege.edu",0.0,0.0,0.0,6875.0,3800.0,12000.0,34400.0,50400.0,0.569801,0.579019,0.624382,0.623457
"Rockford University",42.2706,-89.0195,"Rockford",12,26710.0,26710.0,2,"www.rockford.edu",0.3947,0.581,0.4097,26500.0,8900.0,20100.0,49800.0,63000.0,0.775956,0.803661,0.831325,0.841515
"Rockhurst University",39.0308,-94.5712,"Kansas City",11,31290.0,31290.0,2,"www.rockhurst.edu",0.6921,0.8744,0.7543,20162.5,14200.0,27600.0,55000.0,69700.0,0.859551,0.87062,0.885167,0.914084
"Rockingham Community College",36.3887,-79.7584,"Wentworth",42,1832.0,6428.0,1,"www.rockinghamcc.edu",0.0,0.0,0.0,0.0,3700.0,10900.0,30200.0,45300.0,0.0,0.0,1.0,0.0
"Rockland Community College",41.1332,-74.0882,"Suffern",21,4510.0,8685.0,1,"www.sunyrockland.edu/",0.0,0.0,0.0,8825.0,6100.0,13700.0,42900.0,62900.0,0.587017,0.637845,0.658777,0.715447
"Rockland County BOCES-Practical Nursing Program",41.121,-73.9774,"West Nyack",21,0.0,0.0,1,"www.rocklandboces.org",0.0,0.0,0.8909,6400.0,0.0,0.0,0.0,0.0,0.559524,0.586207,0.564103,0.761194
"Rocky Mountain College",45.7968,-108.554,"Billings",12,23718.0,23718.0,2,"rocky.edu",0.4033,0.6794,0.6683,26000.0,6300.0,18700.0,43400.0,62200.0,0.896714,0.906318,0.821256,0.925856
"Rocky Mountain College of Art and Design",39.7433,-105.07,"Lakewood",12,22470.0,22470.0,3,"www.rmcad.edu",0.4876,0.6632,0.0,29688.0,5500.0,12300.0,35400.0,48300.0,0.859589,0.851485,0.805556,0.795082
"Rocky Mountain University of Health Professions",0.0,0.0,"Provo",12,0.0,0.0,3,"www.rmuohp.edu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rocky Vista University",0.0,0.0,"Parker",21,0.0,0.0,3,"www.rockyvistauniversity.edu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Roger Williams University",41.6473,-71.2618,"Bristol",21,31668.0,31668.0,2,"www.rwu.edu",0.6255,0.8305,0.8098,27000.0,11800.0,23200.0,48100.0,62200.0,0.929396,0.929069,0.926756,0.950203
"Roger Williams University School of Law",41.651,-71.262,"Bristol",21,0.0,0.0,2,"law.rwu.edu/",0.0,0.0,0.0,27000.0,11800.0,23200.0,48100.0,62200.0,0.929396,0.929069,0.926756,0.950203
"Rogers Academy of Hair Design",37.9834,-87.61,"Evansville",12,0.0,0.0,3,"rogershairacademy.com",0.0,0.0,0.0,5200.0,0.0,0.0,0.0,0.0,0.679688,0.592593,0.649123,0.717391
"Rogers State University",36.3196,-95.6357,"Claremore",31,5349.0,12005.0,1,"www.rsu.edu",0.2131,0.6044,0.5445,19000.0,5700.0,15300.0,39200.0,55600.0,0.655371,0.681517,0.65568,0.675121
"Rogies School of Beauty Culture",18.4398,-66.074,"San Juan",11,0.0,0.0,3,"www.rogiesschool.com",0.0,0.0,0.0,0.0,1600.0,5400.0,19200.0,30700.0,0.0,0.0,0.0,0.0
"Rogue Community College",42.4122,-123.393,"Grants Pass",41,3825.0,4545.0,1,"www.roguecc.edu",0.0,0.0,0.0,20000.0,2600.0,9100.0,34400.0,50100.0,0.484487,0.481955,0.554951,0.607317
"Rolf Institute of Structural Integration",40.0662,-105.203,"Boulder",13,0.0,0.0,2,"www.rolf.org",0.0,0.0,0.0,6978.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
