"school","state_code"
"Doane College-Crete",31
"Grace University",31
"Hastings College",31
"University of Nebraska at Kearney",31
"Nebraska Methodist College of Nursing & Allied Health",31
"Nebraska Wesleyan University",31
"University of Nebraska-Lincoln",31
"University of Nevada-Reno",32
"Colby-Sawyer College",33
"Daniel Webster College",33
"Dartmouth College",33
"Southern New Hampshire University",33
"University of New Hampshire-Main Campus",33
"Keene State College",33
"Plymouth State University",33
"Rivier University",33
"Saint Anselm College",33
"Caldwell College",34
"Centenary College",34
"Drew University",34
"Fairleigh Dickinson University-College at Florham",34
"Georgian Court University",34
"Rowan University",34
"Monmouth University",34
"Montclair State University",34
"New Jersey Institute of Technology",34
"Princeton University",34
"Ramapo College of New Jersey",34
"Rider University",34
"Rutgers University-Camden",34
"Rutgers University-New Brunswick",34
"Rutgers University-Newark",34
"Saint Peter's University",34
"Seton Hall University",34
"College of Saint Elizabeth",34
"Stevens Institute of Technology",34
"The Richard Stockton College of New Jersey",34
"The College of New Jersey",34
"William Paterson University of New Jersey",34
"Adelphi University",36
"Alfred University",36
"American Musical and Dramatic Academy",36
"Bard College",36
"Canisius College",36
"Cazenovia College",36
"Clarkson University",36
"Columbia University in the City of New York",36
"Cooper Union for the Advancement of Science and Art",36
"Cornell University",36
"CUNY Bernard M Baruch College",36
"CUNY Brooklyn College",36
"CUNY Hunter College",36
"CUNY Queens College",36
"Elmira College",36
"Fashion Institute of Technology",36
"Fordham University",36
"Hamilton College",36
"Hartwick College",36
"Hobart William Smith Colleges",36
"Hofstra University",36
"Houghton College",36
"Iona College",36
"Ithaca College",36
"Le Moyne College",36
"Manhattan College",36
"Manhattanville College",36
"Marist College",36
"Molloy College",36
"Monroe College",36
"Mount Saint Mary College",36
"College of Mount Saint Vincent",36
"Nazareth College",36
"The New School",36
"New York University",36
"Niagara University",36
"New York School of Interior Design",36
"Pace University-New York",36
"Polytechnic Institute of New York University",36
"Pratt Institute-Main",36
"Rensselaer Polytechnic Institute",36
"Roberts Wesleyan College",36
"Rochester Institute of Technology",36
"University of Rochester",36
"The Sage Colleges",36
"St Bonaventure University",36
"St Francis College",36
"St Lawrence University",36
"The College of Saint Rose",36
"St Thomas Aquinas College",36
"Sarah Lawrence College",36
"Siena College",36
"Skidmore College",36
"Saint Joseph's College-New York",36
"Saint John Fisher College",36
"St John's University-New York",36
"SUNY at Albany",36
"SUNY at Binghamton",36
"University at Buffalo",36
"Stony Brook University",36
"SUNY College of Environmental Science and Forestry",36
"SUNY College at Brockport",36
"SUNY College at Cortland",36
"SUNY at Fredonia",36
"SUNY College at Geneseo",36
"State University of New York at New Paltz",36
"SUNY Oneonta",36
"SUNY College at Oswego",36
"SUNY College at Potsdam",36
"SUNY at Purchase College",36
"SUNY College at Plattsburgh",36
"SUNY Maritime College",36
"Syracuse University",36
"Vassar College",36
"School of Visual Arts",36
"Wagner College",36
"Wells College",36
"Yeshiva University",36
"Appalachian State University",37
"Catawba College",37
"Duke University",37
"East Carolina University",37
"Elon University",37
"Gardner-Webb University",37
"Guilford College",37
"High Point University",37
"Meredith College",37
"University of North Carolina at Asheville",37
"University of North Carolina at Chapel Hill",37
"University of North Carolina at Charlotte",37
"University of North Carolina at Greensboro",37
"University of North Carolina School of the Arts",37
"North Carolina State University at Raleigh",37
"University of North Carolina Wilmington",37
"Queens University of Charlotte",37
"Salem College",37
"Wake Forest University",37
"Warren Wilson College",37
"Wingate University",37
"Western Carolina University",37
"University of Jamestown",38
"University of North Dakota",38
"North Dakota State University-Main Campus",38
"Ashland University",39
"Baldwin Wallace University",39
"Bluffton University",39
"Bowling Green State University-Main Campus",39
"Capital University",39
"Case Western Reserve University",39
"Cedarville University",39
"University of Cincinnati-Main Campus",39
"Cleveland Institute of Art",39
"Columbus College of Art and Design",39
"University of Dayton",39
"Denison University",39
"The University of Findlay",39
"Hiram College",39
"John Carroll University",39
"Kent State University at Kent",39
"Kettering College",39
"Malone University",39
"Marietta College",39
"Mercy College of Ohio",39
"Miami University-Oxford",39
"Mount Carmel College of Nursing",39
"University of Mount Union",39
"Mount Vernon Nazarene University",39
"College of Mount St Joseph",39
"Oberlin College",39
"Ohio Northern University",39
"Ohio State University-Main Campus",39
"Ohio University-Main Campus",39
"Ohio Wesleyan University",39
"Otterbein University",39
