"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"University of Scranton",41.4072,-75.658,"Scranton",13,38754.0,38754.0,2,"www.scranton.edu",0.8176,0.9032,0.7503,27000.0,14500.0,26900.0,56300.0,70400.0,0.931854,0.935625,0.942029,0.956444
"University of Sioux Falls",43.5316,-96.7382,"Sioux Falls",12,24550.0,24550.0,2,"www.usiouxfalls.edu/",0.4747,0.6579,0.969,25000.0,13300.0,21700.0,41200.0,50100.0,0.892617,0.894009,0.898773,0.93617
"University of South Alabama",30.6951,-88.1819,"Mobile",12,6948.0,13596.0,1,"www.southalabama.edu",0.3342,0.6787,0.8604,25000.0,6800.0,16900.0,45500.0,64100.0,0.68938,0.701489,0.723613,0.782916
"University of South Carolina-Aiken",33.5729,-81.7679,"Aiken",21,9308.0,18340.0,1,"web.usca.edu",0.4212,0.6578,0.5122,26000.0,9100.0,18800.0,41800.0,56000.0,0.838462,0.827322,0.863796,0.864296
"University of South Carolina-Beaufort",32.3033,-80.9736,"Bluffton",31,8972.0,18824.0,1,"www.uscb.edu",0.2689,0.5578,0.7304,24250.0,7300.0,17100.0,38300.0,50800.0,0.809748,0.734694,0.810069,0.892421
"University of South Carolina-Columbia",34.0062,-81.0377,"Columbia",12,10816.0,28528.0,1,"www.sc.edu/",0.7268,0.8738,0.606,22500.0,11500.0,22800.0,49500.0,67200.0,0.911254,0.903412,0.919309,0.933914
"University of South Carolina-Upstate",34.9964,-81.9706,"Spartanburg",22,10198.0,20226.0,1,"www.uscupstate.edu",0.405,0.661,0.6422,23250.0,8800.0,19500.0,44400.0,58500.0,0.842167,0.805787,0.827824,0.859862
"University of South Dakota",42.7846,-96.9247,"Vermillion",32,8022.0,10104.0,1,"WWW.USD.EDU",0.5515,0.7649,0.8788,24000.0,12400.0,22700.0,46100.0,58700.0,0.849137,0.850105,0.854686,0.900804
"University of South Florida-Main Campus",28.0566,-82.4159,"Tampa",11,6410.0,17324.0,1,"www.usf.edu",0.6321,0.8878,0.4524,19735.0,9900.0,20300.0,45000.0,61600.0,0.775687,0.789967,0.790651,0.852736
"University of South Florida-St Petersburg",27.7626,-82.6357,"St. Petersburg",12,5820.0,16736.0,1,"www.usfsp.edu",0.4273,0.5991,0.4401,19735.0,9900.0,20300.0,45000.0,61600.0,0.775687,0.789967,0.790651,0.852736
"University of Southern California",34.0211,-118.284,"Los Angeles",11,46298.0,46298.0,2,"www.usc.edu/",0.9117,0.9599,0.1984,22841.5,13500.0,32700.0,79900.0,125100.0,0.943982,0.950041,0.942195,0.95362
"University of Southern Indiana",37.9662,-87.6767,"Evansville",22,6698.0,15553.0,1,"www.usi.edu",0.3954,0.6879,0.6934,23275.0,8700.0,18000.0,40300.0,53000.0,0.757946,0.777563,0.808504,0.825619
"University of Southern Maine",43.6626,-70.276,"Portland",13,8920.0,21280.0,1,"www.usm.maine.edu",0.3356,0.6695,0.828,24250.0,9500.0,19300.0,43900.0,60800.0,0.830577,0.850016,0.853408,0.893808
"University of Southern Mississippi",31.3275,-89.3379,"Hattiesburg",13,6744.0,15024.0,1,"www.usm.edu",0.4513,0.7162,0.6631,25000.0,9300.0,17500.0,40600.0,56800.0,0.659438,0.709458,0.726299,0.778083
"University of St Francis",41.5333,-88.0964,"Joliet",21,27970.0,27970.0,2,"www.stfrancis.edu",0.5657,0.7909,0.5141,25000.0,15100.0,26900.0,62300.0,76100.0,0.854227,0.877632,0.914986,0.881844
"University of St Thomas",44.9417,-93.1894,"Saint Paul",11,35308.0,35308.0,2,"www.stthomas.edu",0.751,0.8755,0.8617,26500.0,15700.0,29000.0,54900.0,67000.0,0.924618,0.929799,0.947274,0.967952
"University of the Cumberlands",36.7365,-84.1624,"Williamsburg",33,20000.0,20000.0,2,"www.ucumberlands.edu",0.4345,0.5163,0.7127,21505.5,5900.0,15800.0,35900.0,48800.0,0.736296,0.708277,0.75,0.800808
"University of the Incarnate Word",29.4681,-98.4677,"San Antonio",11,24790.0,24790.0,2,"www.uiw.edu",0.4,0.6909,0.9307,27000.0,9300.0,21000.0,51400.0,69400.0,0.716418,0.746872,0.707731,0.803164
"University of the Ozarks",35.4778,-93.4679,"Clarksville",33,24350.0,24350.0,2,"www.ozarks.edu",0.4831,0.6943,0.6136,24000.0,5900.0,12600.0,36900.0,44700.0,0.759358,0.75,0.754902,0.887967
"University of the Pacific",37.9806,-121.307,"Stockton",11,39810.0,39810.0,2,"www.pacific.edu",0.5669,0.8656,0.7265,23500.0,11600.0,28200.0,90000.0,146200.0,0.86241,0.885285,0.911069,0.92328
"University of the Sciences",39.9466,-75.2082,"Philadelphia",11,34742.0,34742.0,2,"www.usciences.edu",0.7181,0.8799,0.5635,27000.0,23700.0,42100.0,114400.0,129700.0,0.956633,0.946043,0.93608,0.953927
"University of Toledo",41.658,-83.6152,"Toledo",11,9275.0,18395.0,1,"www.utoledo.edu/",0.4543,0.6805,0.9073,24994.0,9600.0,19500.0,48900.0,65400.0,0.635252,0.672507,0.749924,0.789817
"University of Tulsa",36.1519,-95.9452,"Tulsa",11,34835.0,34835.0,2,"www.utulsa.edu",0.6882,0.9034,0.4059,25000.0,9700.0,20800.0,58100.0,81200.0,0.860741,0.869081,0.858209,0.884041
"University of Utah",40.7625,-111.846,"Salt Lake City",12,7457.0,23736.0,1,"www.utah.edu",0.6037,0.8791,0.8174,15400.0,9700.0,22600.0,57200.0,79100.0,0.873936,0.889715,0.91662,0.937755
"University of Vermont",44.4793,-73.1981,"Burlington",13,15718.0,36646.0,1,"www.uvm.edu",0.7582,0.8577,0.7755,21893.5,10700.0,20700.0,47300.0,63200.0,0.9482,0.930077,0.934138,0.93775
"University of Virginia-Main Campus",38.0365,-78.5026,"Charlottesville",13,12668.0,40054.0,1,"www.virginia.edu/",0.9307,0.97,0.2999,19500.0,13300.0,26700.0,65000.0,87200.0,0.93985,0.953017,0.952333,0.957682
"University of Washington-Bothell Campus",47.7607,-122.191,"Bothell",21,11911.0,31485.0,1,"www.uwb.edu",0.6757,0.7861,0.7568,16326.0,11200.0,25000.0,61500.0,86600.0,0.896088,0.919207,0.929748,0.939534
"University of Washington-Seattle Campus",47.6562,-122.313,"Seattle",11,12397.0,31971.0,1,"www.washington.edu",0.8183,0.9303,0.5523,16326.0,11200.0,25000.0,61500.0,86600.0,0.896088,0.919207,0.929748,0.939534
"University of Washington-Tacoma Campus",47.245,-122.438,"Tacoma",12,11902.0,31476.0,1,"www.tacoma.uw.edu/",0.4943,0.7771,0.8523,16326.0,11200.0,25000.0,61500.0,86600.0,0.896088,0.919207,0.929748,0.939534
"University of West Alabama",32.5924,-88.1861,"Livingston",43,7660.0,14170.0,1,"www.uwa.edu",0.3161,0.5781,0.9957,22500.0,8200.0,17100.0,42500.0,58500.0,0.500928,0.54323,0.552381,0.715517
